model,precision_0,recall_0,f1_score_0,precision_1,recall_1,f1_score_1,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1
Logistic Regression,0.8860759493670886,0.7,0.7821229050279329,0.7619047619047619,0.9142857142857144,0.8311688311688312,0.8097560975609757,0.8239903556359252,0.8071428571428572,0.8066458680983821,0.8224760728619943,0.8097560975609757,0.807243989148881
Decision Tree Classifier,0.970873786407767,1.0,0.9852216748768472,1.0,0.9714285714285714,0.9855072463768116,0.9853658536585366,0.9854368932038836,0.9857142857142858,0.9853644606268296,0.985792090930618,0.9853658536585366,0.9853679432060972
Random Forest Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gradient Boosting Classifier,0.9797979797979798,0.97,0.9748743718592965,0.9716981132075472,0.9809523809523809,0.976303317535545,0.975609756097561,0.9757480465027635,0.9754761904761904,0.9755888446974208,0.9756492676419046,0.975609756097561,0.9756062708642043
